H,TWI,Aspect,Hillshade,Roughness,Slope,Temperature_merra_1000hpa,T_rp5,Time,DayOfYear,X,Y
110,6.57,0.0,184,2,0.46,297.96,24.8,0,190,50.8,42.0
110,6.57,0.0,184,2,0.46,297.96,28.0,720,190,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,22.5,360,190,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,19.7,0,191,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,17.2,360,191,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,16.9,1080,191,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,18.3,720,191,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,18.2,720,192,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,15.6,360,192,50.8,42.0
110,6.57,0.0,184,2,0.46,307.19,16.1,0,192,50.8,42.0
110,6.57,0.0,184,2,0.46,291.22,19.7,1080,192,50.8,42.0
110,6.57,0.0,184,2,0.46,288.98,14.0,0,193,50.8,42.0
110,6.57,0.0,184,2,0.46,296.52,20.2,720,193,50.8,42.0
110,6.57,0.0,184,2,0.46,291.89,19.2,1080,193,50.8,42.0
110,6.57,0.0,184,2,0.46,290.88,14.8,360,193,50.8,42.0
110,6.57,0.0,184,2,0.46,289.79,12.7,360,194,50.8,42.0
110,6.57,0.0,184,2,0.46,289.64,11.0,0,194,50.8,42.0
110,6.57,0.0,184,2,0.46,292.6,19.8,720,194,50.8,42.0
110,6.57,0.0,184,2,0.46,290.37,22.3,1080,194,50.8,42.0
110,6.57,0.0,184,2,0.46,300.18,26.2,720,195,50.8,42.0
110,6.57,0.0,184,2,0.46,288.88,15.9,0,195,50.8,42.0
110,6.57,0.0,184,2,0.46,291.81,18.6,360,195,50.8,42.0
110,6.57,0.0,184,2,0.46,297.43,22.1,1080,195,50.8,42.0
110,6.57,0.0,184,2,0.46,292.32,16.7,360,198,50.8,42.0
110,6.57,0.0,184,2,0.46,292.47,23.3,1080,198,50.8,42.0
110,6.57,0.0,184,2,0.46,296.81,21.7,720,198,50.8,42.0
110,6.57,0.0,184,2,0.46,289.07,16.9,0,198,50.8,42.0
110,6.57,0.0,184,2,0.46,296.85,18.0,360,199,50.8,42.0
110,6.57,0.0,184,2,0.46,290.1,16.7,0,199,50.8,42.0
110,6.57,0.0,184,2,0.46,301.33,26.3,720,199,50.8,42.0
110,6.57,0.0,184,2,0.46,296.37,27.5,1080,199,50.8,42.0
110,6.57,0.0,184,2,0.46,298.16,18.6,360,200,50.8,42.0
110,6.57,0.0,184,2,0.46,294.89,23.3,1080,200,50.8,42.0
110,6.57,0.0,184,2,0.46,294.89,23.1,720,200,50.8,42.0
110,6.57,0.0,184,2,0.46,290.02,18.8,0,200,50.8,42.0
110,6.57,0.0,184,2,0.46,297.79,23.4,720,201,50.8,42.0
110,6.57,0.0,184,2,0.46,294.24,24.4,1080,201,50.8,42.0
110,6.57,0.0,184,2,0.46,290.93,14.4,0,201,50.8,42.0
110,6.57,0.0,184,2,0.46,295.0,15.2,360,201,50.8,42.0
110,6.57,0.0,184,2,0.46,291.05,13.4,0,202,50.8,42.0
110,6.57,0.0,184,2,0.46,296.13,21.9,1080,202,50.8,42.0
110,6.57,0.0,184,2,0.46,296.57,16.4,360,202,50.8,42.0
110,6.57,0.0,184,2,0.46,301.41,18.1,720,202,50.8,42.0
110,6.57,0.0,184,2,0.46,296.23,24.8,1080,203,50.8,42.0
110,6.57,0.0,184,2,0.46,300.22,25.3,720,203,50.8,42.0
110,6.57,0.0,184,2,0.46,292.16,15.3,0,203,50.8,42.0
110,6.57,0.0,184,2,0.46,294.98,15.8,360,203,50.8,42.0
110,6.57,0.0,184,2,0.46,302.61,23.3,720,204,50.8,42.0
110,6.57,0.0,184,2,0.46,296.27,16.8,360,204,50.8,42.0
110,6.57,0.0,184,2,0.46,293.65,17.0,0,204,50.8,42.0
110,6.57,0.0,184,2,0.46,294.84,23.8,1080,204,50.8,42.0
110,6.57,0.0,184,2,0.46,297.81,25.8,1080,205,50.8,42.0
110,6.57,0.0,184,2,0.46,301.32,24.7,720,205,50.8,42.0
110,6.57,0.0,184,2,0.46,295.09,15.2,360,205,50.8,42.0
110,6.57,0.0,184,2,0.46,291.61,15.5,0,205,50.8,42.0
110,6.57,0.0,184,2,0.46,298.09,27.1,1080,206,50.8,42.0
110,6.57,0.0,184,2,0.46,301.74,26.7,720,206,50.8,42.0
110,6.57,0.0,184,2,0.46,296.98,14.2,360,206,50.8,42.0
110,6.57,0.0,184,2,0.46,292.11,14.2,0,206,50.8,42.0
110,6.57,0.0,184,2,0.46,299.9,17.5,360,207,50.8,42.0
110,6.57,0.0,184,2,0.46,293.95,17.3,0,207,50.8,42.0
